vendor_uuid,slug,business_name,top_level_category,subcategory,visual_vibe,key_services,primary_image_concept,target_webp_filename,destination_path
"30000000-0000-4000-8000-000000001433","moon-cakes-workshop-01","Sugar Veil Wedding Bakery","Cakes & Desserts","Wedding Cakes","Modern romantic bakery with airy, softly sculptural presentation.","Vegan options | Tiered cakes | Buttercream finish | Sheet-cake service","An ivory two-tier buttercream cake with translucent sugar-veil folds, a small vegan tasting slice, and warm window light on a bakery worktable.","moon-cakes-workshop-01-primary.webp","public/demo-marketplace/wedding-cakes/moon-cakes-workshop-01-primary.webp"
"30000000-0000-4000-8000-000000001434","sage-cakes-atelier-02","Wedding Cakes by Almond & Ivory","Cakes & Desserts","Wedding Cakes","Luxury classic cake atelier with botanical, nature-led refinement.","Gluten-free options | Custom design | Sugar flowers | Fondant finish","A tall ivory fondant cake with hand-sculpted almond-blossom sugar flowers on a stone plinth in a botanical wedding tablescape.","sage-cakes-atelier-02-primary.webp","public/demo-marketplace/wedding-cakes/sage-cakes-atelier-02-primary.webp"
"30000000-0000-4000-8000-000000001435","fig-cakes-collective-03","Tiered","Cakes & Desserts","Wedding Cakes","Minimalist nature-led cake studio with elegant vintage details.","Personalized topper | Cake tasting | Vegan options | Tiered cakes","A restrained stacked buttercream cake with a personalized topper, fig branches, and vintage linen on a quiet garden tasting table.","fig-cakes-collective-03-primary.webp","public/demo-marketplace/wedding-cakes/fig-cakes-collective-03-primary.webp"
"30000000-0000-4000-8000-000000001436","terra-cakes-house-04","Velvet Crumb Cake House","Cakes & Desserts","Wedding Cakes","Elegant vintage cake house with rich texture and warm burgundy accents.","Sheet-cake service | Venue delivery | Gluten-free options | Custom design","A deep-burgundy velvet-textured statement cake with neatly cut gluten-free sheet-cake portions on an antique brass service trolley.","terra-cakes-house-04-primary.webp","public/demo-marketplace/wedding-cakes/terra-cakes-house-04-primary.webp"
"30000000-0000-4000-8000-000000001437","north-cakes-project-05","Noya Bakes Cake Atelier","Cakes & Desserts","Wedding Cakes","Romantic modern atelier with polished luxury styling.","Dessert styling | Fondant finish | Personalized topper | Cake tasting","A blush fondant cake with sculptural folds and a monogram topper, beside an open tasting box on a pale marble atelier counter.","north-cakes-project-05-primary.webp","public/demo-marketplace/wedding-cakes/north-cakes-project-05-primary.webp"
"30000000-0000-4000-8000-000000001438","south-cakes-studio-06","Butterline Celebration Cakes","Cakes & Desserts","Wedding Cakes","Classic luxury cake studio with clean lines and natural detailing.","Tiered cakes | Buttercream finish | Sheet-cake service | Venue delivery","A crisp three-tier buttercream cake with fine piped lines and natural white flowers, with matching sheet-cake service arranged behind it.","south-cakes-studio-06-primary.webp","public/demo-marketplace/wedding-cakes/south-cakes-studio-06-primary.webp"
"30000000-0000-4000-8000-000000001439","harbor-cakes-works-07","Ganache Room Custom Cakes","Cakes & Desserts","Wedding Cakes","Minimalist custom cake workshop with earthy Mediterranean character.","Custom design | Sugar flowers | Dessert styling | Fondant finish","A dark-chocolate ganache cake with restrained ivory sugar flowers on raw stone, framed by sparse Mediterranean greenery.","harbor-cakes-works-07-primary.webp","public/demo-marketplace/wedding-cakes/harbor-cakes-works-07-primary.webp"
"30000000-0000-4000-8000-000000001440","juniper-cakes-and-co-08","Pearl Whisk Tiered Cakes","Cakes & Desserts","Wedding Cakes","Elegant modern-vintage bakery with pearl-like decorative detail.","Cake tasting | Vegan options | Tiered cakes | Buttercream finish","A pearl-piped tiered buttercream cake on a silver pedestal, with vintage coupe glasses and small vegan tasting slices nearby.","juniper-cakes-and-co-08-primary.webp","public/demo-marketplace/wedding-cakes/juniper-cakes-and-co-08-primary.webp"
"30000000-0000-4000-8000-000000001441","south-desserts-house-01","Sweet Assembly Wedding Desserts","Cakes & Desserts","Dessert Tables","Modern luxury dessert service with a lively late-night identity.","Vegan options | Mini desserts | Late-night service | Table replenishment","A midnight dessert bar with rows of jewel-like vegan mini desserts on smoked glass and brass, with a fresh replenishment tray entering the scene.","south-desserts-house-01-primary.webp","public/demo-marketplace/dessert-tables/south-desserts-house-01-primary.webp"
"30000000-0000-4000-8000-000000001442","harbor-desserts-project-02","Sweet Table Studio by Pistachio Table","Cakes & Desserts","Dessert Tables","Minimalist romantic table studio with soft pistachio and ivory styling.","Custom signage | Individual portions | Dairy-free options | Styled table","A pistachio-and-ivory table of individual dairy-free desserts on clean acrylic risers with a refined hand-lettered wedding sign.","harbor-desserts-project-02-primary.webp","public/demo-marketplace/dessert-tables/harbor-desserts-project-02-primary.webp"
"30000000-0000-4000-8000-000000001443","juniper-desserts-studio-03","Honeyed","Cakes & Desserts","Dessert Tables","Rustic romantic Israeli dessert brand with warm honeyed tones.","Takeaway boxes | Custom menu | Vegan options | Mini desserts","A linen-covered Israeli dessert table with mini date-and-honey pastries, kraft takeaway boxes, and understated juniper foliage.","juniper-desserts-studio-03-primary.webp","public/demo-marketplace/dessert-tables/juniper-desserts-studio-03-primary.webp"
"30000000-0000-4000-8000-000000001444","linen-desserts-works-04","Dulce Display Table of Sweets","Cakes & Desserts","Dessert Tables","Elegant Israeli sweets display focused on orderly individual presentation.","Table replenishment | Display tableware | Custom signage | Individual portions","Cream stone stands filled with individual sweets, small calligraphed signs, and a replenishment tray visible behind the display.","linen-desserts-works-04-primary.webp","public/demo-marketplace/dessert-tables/linen-desserts-works-04-primary.webp"
"30000000-0000-4000-8000-000000001445","orchid-desserts-and-co-05","Petite Feast Dessert Atelier","Cakes & Desserts","Dessert Tables","Monochrome luxury atelier with petite, architectural presentation.","Styled table | Venue delivery | Takeaway boxes | Custom menu","A monochrome arrangement of tiny desserts on staggered travertine plinths, with one elegant takeaway box open at the edge.","orchid-desserts-and-co-05-primary.webp","public/demo-marketplace/dessert-tables/orchid-desserts-and-co-05-primary.webp"
"30000000-0000-4000-8000-000000001446","amber-desserts-workshop-06","Caramel Garden Sweet Displays","Cakes & Desserts","Dessert Tables","Romantic rustic dessert workshop with warm garden-party energy.","Mini desserts | Late-night service | Table replenishment | Display tableware","A caramel-toned garden sweet station at dusk, filled with miniature desserts on rustic brass stands beneath warm festoon lights.","amber-desserts-workshop-06-primary.webp","public/demo-marketplace/dessert-tables/amber-desserts-workshop-06-primary.webp"
